,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
104,104,5,1,"[0.01941699907183647, 0.1306924670934677, 0.10158292949199677, 0.2332482486963272, 0.21782130002975464, 0.2972380518913269]","[0.13457082211971283, 0.3246910274028778, 0.1497972160577774, 0.16484098136425018, 0.12127172946929932, 0.10482820868492126]",5
105,105,5,0,"[0.02247922495007515, 0.16643601655960083, 0.1177113726735115, 0.20547735691070557, 0.19429872930049896, 0.2935972809791565]","[0.3206653594970703, 0.30783751606941223, 0.16036131978034973, 0.10998842865228653, 0.05465153232216835, 0.04649585485458374]",3
106,106,5,1,"[0.02655820921063423, 0.20531229674816132, 0.15669772028923035, 0.2186191976070404, 0.08907965570688248, 0.30373290181159973]","[0.20660500228405, 0.28990185260772705, 0.2213391661643982, 0.15686644613742828, 0.05342124029994011, 0.07186632603406906]",0
107,107,5,5,"[0.026954788714647293, 0.16465158760547638, 0.10650011897087097, 0.21397468447685242, 0.20418155193328857, 0.28373730182647705]","[0.032217711210250854, 0.20578481256961823, 0.11042054742574692, 0.21571499109268188, 0.21412436664104462, 0.2217375934123993]",0
108,108,5,4,"[0.05554429441690445, 0.2008979469537735, 0.1411350518465042, 0.17423216998577118, 0.1581779420375824, 0.27001261711120605]","[0.021140048280358315, 0.12954381108283997, 0.12339506298303604, 0.24881455302238464, 0.27013301849365234, 0.20697349309921265]",5
109,109,5,0,"[0.07291236519813538, 0.16762004792690277, 0.1599884331226349, 0.22892187535762787, 0.12502560019493103, 0.24553169310092926]","[0.3322446644306183, 0.22755835950374603, 0.16156966984272003, 0.12786610424518585, 0.05937391519546509, 0.09138719737529755]",5
110,110,5,3,"[0.039715755730867386, 0.13779067993164062, 0.09875617921352386, 0.20921207964420319, 0.22145846486091614, 0.2930668294429779]","[0.07738590985536575, 0.22780635952949524, 0.17088042199611664, 0.24843783676624298, 0.1904117912054062, 0.08507765829563141]",0
111,111,5,1,"[0.05076998099684715, 0.17576222121715546, 0.14939013123512268, 0.20949484407901764, 0.1602533757686615, 0.2543294429779053]","[0.29568976163864136, 0.3120235800743103, 0.15070779621601105, 0.10348819941282272, 0.052829936146736145, 0.08526073396205902]",1
112,112,5,3,"[0.05233123153448105, 0.15801319479942322, 0.07795663923025131, 0.1999707967042923, 0.1649722307920456, 0.3467559218406677]","[0.05219165235757828, 0.1984589546918869, 0.1771012842655182, 0.2756120562553406, 0.1631215214729309, 0.13351455330848694]",3
113,113,5,2,"[0.029084978625178337, 0.15914997458457947, 0.0758967474102974, 0.15638187527656555, 0.16900454461574554, 0.41048189997673035]","[0.059792812913656235, 0.21529613435268402, 0.2581581473350525, 0.2497815489768982, 0.13566701114177704, 0.08130431175231934]",4
114,114,5,4,"[0.025772085413336754, 0.15488223731517792, 0.09449385851621628, 0.19134078919887543, 0.20569899678230286, 0.32781198620796204]","[0.02730385586619377, 0.17222483456134796, 0.16016778349876404, 0.21147136390209198, 0.2209010273218155, 0.20793110132217407]",5
115,115,5,4,"[0.028301285579800606, 0.11617772281169891, 0.0744682177901268, 0.22666634619235992, 0.2415292114019394, 0.3128572106361389]","[0.008287529461085796, 0.08868914842605591, 0.05045260488986969, 0.18306948244571686, 0.35713091492652893, 0.312370240688324]",3
116,116,5,1,"[0.04862705618143082, 0.17166538536548615, 0.13526342809200287, 0.25103530287742615, 0.12687642872333527, 0.26653236150741577]","[0.05290589854121208, 0.262904554605484, 0.1382114440202713, 0.20816251635551453, 0.138870507478714, 0.19894514977931976]",1
117,117,5,3,"[0.03926324099302292, 0.14714427292346954, 0.13671407103538513, 0.24534425139427185, 0.15843749046325684, 0.2730967104434967]","[0.025816405192017555, 0.1357501745223999, 0.17152151465415955, 0.2965274751186371, 0.22511504590511322, 0.14526939392089844]",2
118,118,5,3,"[0.025144794955849648, 0.10721275955438614, 0.08463838696479797, 0.24099810421466827, 0.20659050345420837, 0.3354153633117676]","[0.028220336884260178, 0.1401120126247406, 0.1766946017742157, 0.2962811291217804, 0.18159206211566925, 0.17709983885288239]",3
119,119,5,3,"[0.04469037801027298, 0.16064177453517914, 0.08140666037797928, 0.21966876089572906, 0.17261412739753723, 0.3209782838821411]","[0.06984753906726837, 0.2493840605020523, 0.23811961710453033, 0.2851006090641022, 0.11306959390640259, 0.04447859153151512]",1
120,120,5,1,"[0.048405952751636505, 0.2208908349275589, 0.12947802245616913, 0.1941356658935547, 0.14958377182483673, 0.25750577449798584]","[0.2075730264186859, 0.30127400159835815, 0.20662236213684082, 0.13553446531295776, 0.0678873360157013, 0.08110880106687546]",2
121,121,5,3,"[0.019328176975250244, 0.211889386177063, 0.16338805854320526, 0.19344019889831543, 0.13517215847969055, 0.2767820358276367]","[0.03173999860882759, 0.18648149073123932, 0.2516232132911682, 0.30513933300971985, 0.15149645507335663, 0.07351946085691452]",2
122,122,1,3,"[0.17815744876861572, 0.2830427885055542, 0.10953743755817413, 0.14016595482826233, 0.111475370824337, 0.17762097716331482]","[0.07883688062429428, 0.23115195333957672, 0.1425420492887497, 0.2496744990348816, 0.18349803984165192, 0.114296555519104]",0
123,123,2,1,"[0.05460652709007263, 0.2634425759315491, 0.32377052307128906, 0.13853956758975983, 0.05910686403512955, 0.16053394973278046]","[0.2079193890094757, 0.2877759337425232, 0.25620588660240173, 0.13855911791324615, 0.05518988147377968, 0.05434979125857353]",2
124,124,5,1,"[0.023059794679284096, 0.19648000597953796, 0.10282380878925323, 0.19310109317302704, 0.1886652410030365, 0.2958700954914093]","[0.05242784693837166, 0.2721608281135559, 0.2090356945991516, 0.23433612287044525, 0.14219272136688232, 0.08984678983688354]",1
125,125,5,1,"[0.024123383685946465, 0.13537758588790894, 0.12189523130655289, 0.21057729423046112, 0.2172592133283615, 0.2907673120498657]","[0.054251786321401596, 0.2772071957588196, 0.15477988123893738, 0.2365601807832718, 0.1858193725347519, 0.09138155728578568]",4
126,126,5,1,"[0.02563614398241043, 0.11853330582380295, 0.09392213821411133, 0.2571184039115906, 0.2045874446630478, 0.3002026379108429]","[0.13226599991321564, 0.2313932329416275, 0.16121627390384674, 0.21383437514305115, 0.12933363020420074, 0.13195647299289703]",3
127,127,5,5,"[0.030262043699622154, 0.15542277693748474, 0.0899374708533287, 0.1606147289276123, 0.16715940833091736, 0.39660364389419556]","[0.020575176924467087, 0.15227024257183075, 0.11494450271129608, 0.237623929977417, 0.23050086200237274, 0.24408534169197083]",4
128,128,5,1,"[0.03767263516783714, 0.2073066234588623, 0.09499583393335342, 0.1921694427728653, 0.19579434394836426, 0.2720611095428467]","[0.07164257764816284, 0.30047762393951416, 0.17670303583145142, 0.23420481383800507, 0.1503099501132965, 0.0666620135307312]",3
129,129,1,3,"[0.08304401487112045, 0.23068608343601227, 0.18130655586719513, 0.16688816249370575, 0.1295057237148285, 0.20856952667236328]","[0.05868319049477577, 0.21437038481235504, 0.22340941429138184, 0.24031014740467072, 0.15378719568252563, 0.10943970084190369]",5
130,130,5,0,"[0.10340771079063416, 0.22203035652637482, 0.1242733895778656, 0.15244998037815094, 0.14498332142829895, 0.2528552711009979]","[0.4323635995388031, 0.26399651169776917, 0.15940335392951965, 0.08715429157018661, 0.032644111663103104, 0.024438107386231422]",0
131,131,5,1,"[0.022442029789090157, 0.16931387782096863, 0.09943339973688126, 0.20285338163375854, 0.19005198776721954, 0.3159053325653076]","[0.0947161465883255, 0.2367083877325058, 0.15210719406604767, 0.16466784477233887, 0.13685739040374756, 0.21494309604167938]",4
132,132,5,1,"[0.017330458387732506, 0.1399313360452652, 0.09341271221637726, 0.20918016135692596, 0.21337252855300903, 0.3267728090286255]","[0.10190777480602264, 0.2958860695362091, 0.12653475999832153, 0.15961168706417084, 0.14118646085262299, 0.1748732626438141]",1
133,133,5,1,"[0.09317154437303543, 0.20113255083560944, 0.11853405833244324, 0.20601294934749603, 0.14921322464942932, 0.23193560540676117]","[0.21932879090309143, 0.2856426239013672, 0.23666858673095703, 0.16283459961414337, 0.06729313731193542, 0.028232231736183167]",0
134,134,5,1,"[0.018609996885061264, 0.14247439801692963, 0.10786248743534088, 0.2175704687833786, 0.20671787858009338, 0.3067648112773895]","[0.07862277328968048, 0.2306366115808487, 0.1290394812822342, 0.19144314527511597, 0.18941335380077362, 0.18084460496902466]",2
135,135,5,1,"[0.045494887977838516, 0.1671496331691742, 0.10045213252305984, 0.18816393613815308, 0.17551164329051971, 0.32322779297828674]","[0.03604784980416298, 0.230135977268219, 0.16603237390518188, 0.22454491257667542, 0.1834278106689453, 0.1598110795021057]",4
136,136,1,1,"[0.12262551486492157, 0.5015676617622375, 0.1126299798488617, 0.1375313401222229, 0.07540842890739441, 0.05023704841732979]","[0.2842964828014374, 0.5368515253067017, 0.09420915693044662, 0.05610726773738861, 0.0202603992074728, 0.008275170810520649]",2
137,137,5,4,"[0.018478088080883026, 0.10074158012866974, 0.09738099575042725, 0.23816898465156555, 0.24690885841846466, 0.29832151532173157]","[0.004975263029336929, 0.06748125702142715, 0.06679277867078781, 0.22291283309459686, 0.3778479993343353, 0.259989857673645]",4
138,138,5,2,"[0.05472344532608986, 0.17901884019374847, 0.11594061553478241, 0.21146339178085327, 0.17499907314777374, 0.26385459303855896]","[0.21477283537387848, 0.2090456634759903, 0.22131741046905518, 0.1788572371006012, 0.0962042361497879, 0.07980253547430038]",4
139,139,5,3,"[0.018922677263617516, 0.11915314197540283, 0.07737820595502853, 0.21187269687652588, 0.22488142549991608, 0.3477918803691864]","[0.042272791266441345, 0.16789725422859192, 0.16127949953079224, 0.24539804458618164, 0.2143460214138031, 0.16880641877651215]",1
140,140,5,3,"[0.027863124385476112, 0.16862709820270538, 0.11857642978429794, 0.22437258064746857, 0.1759738326072693, 0.28458690643310547]","[0.056428562849760056, 0.23961037397384644, 0.18041488528251648, 0.2726200819015503, 0.15444152057170868, 0.09648456424474716]",1
141,141,5,1,"[0.023906094953417778, 0.18839827179908752, 0.07733552157878876, 0.19523969292640686, 0.1729615181684494, 0.3421589434146881]","[0.06128866598010063, 0.24873636662960052, 0.16616621613502502, 0.23049747943878174, 0.14901532232761383, 0.14429590106010437]",1
142,142,5,5,"[0.018035216256976128, 0.11143123358488083, 0.10431305319070816, 0.23716606199741364, 0.22602339088916779, 0.3030310273170471]","[0.0384615994989872, 0.21062253415584564, 0.09141652286052704, 0.19214679300785065, 0.23103518784046173, 0.23631738126277924]",4
143,143,5,3,"[0.024982944130897522, 0.16155117750167847, 0.10533463209867477, 0.2171623706817627, 0.21104566752910614, 0.2799232304096222]","[0.025385798886418343, 0.19517144560813904, 0.12135591357946396, 0.25498080253601074, 0.2135668694972992, 0.18953922390937805]",5
144,144,1,1,"[0.05600409209728241, 0.29309967160224915, 0.11170828342437744, 0.171424001455307, 0.14015406370162964, 0.22760990262031555]","[0.09539055824279785, 0.5051044225692749, 0.12708961963653564, 0.13763099908828735, 0.07541807740926743, 0.05936635658144951]",1
145,145,5,4,"[0.019527493044734, 0.10515434294939041, 0.08980345726013184, 0.25948280096054077, 0.24433626234531403, 0.2816956639289856]","[0.0023468919098377228, 0.054165806621313095, 0.04237276688218117, 0.18061946332454681, 0.3716181516647339, 0.34887683391571045]",5
146,146,5,3,"[0.01946844905614853, 0.11327236890792847, 0.10133886337280273, 0.24101895093917847, 0.20891010761260986, 0.3159913122653961]","[0.06086370721459389, 0.1756107360124588, 0.12645675241947174, 0.2626597285270691, 0.20154453814029694, 0.17286452651023865]",4
147,147,5,1,"[0.014317897148430347, 0.1338050812482834, 0.11698761582374573, 0.21037627756595612, 0.21557746827602386, 0.3089357018470764]","[0.05983348563313484, 0.26707637310028076, 0.2102341204881668, 0.2300284504890442, 0.14935779571533203, 0.08346979320049286]",3
148,148,5,1,"[0.04775337129831314, 0.15382590889930725, 0.1230766773223877, 0.22390997409820557, 0.1968892365694046, 0.25454479455947876]","[0.2652698755264282, 0.355189710855484, 0.15147309005260468, 0.11313417553901672, 0.058994635939598083, 0.05593855306506157]",3
149,149,5,1,"[0.055558931082487106, 0.20095914602279663, 0.1048634722828865, 0.17528857290744781, 0.17876800894737244, 0.2845618426799774]","[0.09281804412603378, 0.2402871996164322, 0.17827439308166504, 0.18947409093379974, 0.1626919060945511, 0.13645432889461517]",1
150,150,5,1,"[0.02018454298377037, 0.13147546350955963, 0.09116150438785553, 0.1924065500497818, 0.22705496847629547, 0.3377169072628021]","[0.13301216065883636, 0.2941338121891022, 0.2020045667886734, 0.16847705841064453, 0.11039038002490997, 0.09198205173015594]",1
151,151,3,4,"[0.002831601072102785, 0.05610602721571922, 0.032898806035518646, 0.32897499203681946, 0.3054029643535614, 0.27378562092781067]","[0.00201099319383502, 0.09680294245481491, 0.05425882712006569, 0.3072761595249176, 0.3452937602996826, 0.1943572610616684]",4
152,152,5,1,"[0.02081417851150036, 0.15737281739711761, 0.10284723341464996, 0.20690478384494781, 0.20675025880336761, 0.3053107261657715]","[0.1850331574678421, 0.41090691089630127, 0.15729112923145294, 0.1369101107120514, 0.06128677353262901, 0.04857189580798149]",2
153,153,4,4,"[0.006048273295164108, 0.04747985303401947, 0.06434322893619537, 0.23151597380638123, 0.32943564653396606, 0.32117703557014465]","[0.003286658087745309, 0.06396199762821198, 0.04970608279109001, 0.19626913964748383, 0.38121920824050903, 0.30555686354637146]",3
154,154,3,1,"[0.011248425580561161, 0.2704865038394928, 0.06053741276264191, 0.3078058063983917, 0.12287935614585876, 0.22704248130321503]","[0.054944269359111786, 0.39905285835266113, 0.1228599101305008, 0.22620810568332672, 0.10960481315851212, 0.08732999861240387]",1
155,155,5,5,"[0.014248556457459927, 0.1280253678560257, 0.07896006107330322, 0.18763619661331177, 0.2640002965927124, 0.3271294832229614]","[0.009168433025479317, 0.12004899978637695, 0.03971198573708534, 0.11828132718801498, 0.31166020035743713, 0.4011290371417999]",5
156,156,1,1,"[0.06300032138824463, 0.2525401711463928, 0.18461386859416962, 0.20581018924713135, 0.1205478310585022, 0.1734876185655594]","[0.14412057399749756, 0.32105204463005066, 0.22249901294708252, 0.15419258177280426, 0.08650696277618408, 0.07162883132696152]",1
157,157,5,3,"[0.019513068720698357, 0.10136424750089645, 0.15060441195964813, 0.2526504397392273, 0.22008880972862244, 0.2557789981365204]","[0.06514432281255722, 0.2265317589044571, 0.20007124543190002, 0.238871768116951, 0.17359711229801178, 0.09578380733728409]",5
158,158,0,0,"[0.5582360029220581, 0.24490605294704437, 0.06523704528808594, 0.0696796178817749, 0.03361004218459129, 0.028331240639090538]","[0.7167060375213623, 0.15979339182376862, 0.05264554172754288, 0.04135752096772194, 0.019867192953824997, 0.009630355052649975]",0
159,159,3,5,"[0.023364566266536713, 0.10871903598308563, 0.1308070421218872, 0.2995855510234833, 0.18219800293445587, 0.2553257942199707]","[0.009410361759364605, 0.1310497522354126, 0.05074120685458183, 0.1563725620508194, 0.2536172866821289, 0.3988088071346283]",4
160,160,5,4,"[0.04088471457362175, 0.13050636649131775, 0.08190130442380905, 0.24290907382965088, 0.19746080040931702, 0.3063376843929291]","[0.024139784276485443, 0.14466840028762817, 0.08903046697378159, 0.24710099399089813, 0.2571490705013275, 0.23791131377220154]",4
161,161,5,4,"[0.024755777791142464, 0.10403580963611603, 0.07326679676771164, 0.24967552721500397, 0.24011363089084625, 0.3081524968147278]","[0.007290255278348923, 0.08817416429519653, 0.05701813846826553, 0.22824199497699738, 0.35424697399139404, 0.2650285065174103]",3
162,162,5,5,"[0.026611337438225746, 0.11749884486198425, 0.10777387022972107, 0.232110857963562, 0.21815074980258942, 0.29785436391830444]","[0.009742592461407185, 0.1311977207660675, 0.04756487160921097, 0.15343280136585236, 0.2947506606578827, 0.3633113503456116]",3
163,163,5,1,"[0.03691268712282181, 0.18221910297870636, 0.08752039074897766, 0.197564035654068, 0.1844342052936554, 0.3113495707511902]","[0.17571547627449036, 0.3377842903137207, 0.20753684639930725, 0.15946625173091888, 0.07066623121500015, 0.048830896615982056]",0
164,164,3,1,"[0.031996503472328186, 0.137912318110466, 0.12683670222759247, 0.29021281003952026, 0.16813482344150543, 0.24490685760974884]","[0.06734936684370041, 0.30188530683517456, 0.10719239711761475, 0.2097460925579071, 0.16167934238910675, 0.15214748680591583]",4
165,165,5,5,"[0.02292601205408573, 0.1449647843837738, 0.13381890952587128, 0.2465907335281372, 0.19918189942836761, 0.2525177001953125]","[0.09063144773244858, 0.25862276554107666, 0.08245447278022766, 0.10184099525213242, 0.1566217839717865, 0.3098285496234894]",1
166,166,5,3,"[0.04994719475507736, 0.1420929729938507, 0.1298530101776123, 0.25499001145362854, 0.1612558215856552, 0.26186105608940125]","[0.029236940667033195, 0.1459445208311081, 0.19460558891296387, 0.25422433018684387, 0.196379154920578, 0.1796095073223114]",2
167,167,1,1,"[0.09992123395204544, 0.4262101650238037, 0.12249673157930374, 0.17954905331134796, 0.11235903203487396, 0.05946379527449608]","[0.06560049951076508, 0.36684033274650574, 0.10657812654972076, 0.19282087683677673, 0.18297408521175385, 0.08518607914447784]",4
